employee_id,employee_name,department,salary,age,performance_rating
101,Alice,HR,45000.0,25,4.5
102,Bob,Finance,52000.0,30,4.2
103,Charlie,IT,48631.57894736842,28,4.8
104,David,IT,62000.0,29,4.322222222222222
105,Eve,HR,45000.0,25,4.5
106,Frank,Sales,38000.0,22,3.9
109,Ivy,Sales,41000.0,27,4.322222222222222
110,Unknown,Marketing,48000.0,26,4.0
111,Jack,Sales,39000.0,24,3.8
112,Kate,HR,51000.0,29,4.3
113,Liam,Finance,60000.0,32,4.6
114,Mia,Marketing,47000.0,27,4.1
115,Noah,IT,68000.0,35,4.9
116,Olivia,Sales,42000.0,23,3.7
117,Peter,Finance,55000.0,30,4.2
118,Queen,HR,48631.57894736842,26,4.0
119,Ryan,IT,72000.0,29,5.0
120,Sophia,Marketing,49000.0,28,4.322222222222222
